ServiceTechCategory,ModelGeography,SubGeography1,SubGeography2,Year,ServiceTech,TechSplitRatio
BOF,INDIA,ER,BR,2022,BF_BOF_CCUS,0
EAF,INDIA,ER,BR,2022,DRI_EAF_COAL,0
EAF,INDIA,ER,BR,2022,DRI_EAF_H2,0
IF,INDIA,ER,BR,2022,DRI_IF_COAL,0.443707165
IF,INDIA,ER,BR,2022,SCRAP_IF,0.556292835
BOF,INDIA,ER,BR,2022,BF_BOF,0
EAF,INDIA,ER,BR,2022,BF_EAF,0
EAF,INDIA,ER,BR,2022,BF_EAF_CCUS,0
EAF,INDIA,ER,BR,2022,SCRAP_EAF,0
EAF,INDIA,ER,BR,2022,DRI_EAF_NATGAS,0
EAF,INDIA,ER,BR,2022,COREX_EAF_COAL,0
EAF,INDIA,ER,BR,2022,COREX_EAF_CCUS,0
EAF,INDIA,ER,JH,2022,BF_EAF_CCUS,0
EAF,INDIA,ER,JH,2022,BF_EAF,0.385662712
EAF,INDIA,ER,JH,2022,SCRAP_EAF,0.153057866
IF,INDIA,ER,JH,2022,SCRAP_IF,0.556292835
IF,INDIA,ER,JH,2022,DRI_IF_COAL,0.443707165
EAF,INDIA,ER,JH,2022,COREX_EAF_CCUS,0
EAF,INDIA,ER,JH,2022,DRI_EAF_COAL,0.145675128
BOF,INDIA,ER,JH,2022,BF_BOF_CCUS,0
BOF,INDIA,ER,JH,2022,BF_BOF,1
EAF,INDIA,ER,JH,2022,COREX_EAF_COAL,0
EAF,INDIA,ER,JH,2022,DRI_EAF_NATGAS,0.315604294
EAF,INDIA,ER,JH,2022,DRI_EAF_H2,0
EAF,INDIA,ER,OD,2022,DRI_EAF_NATGAS,0.315604294
EAF,INDIA,ER,OD,2022,COREX_EAF_COAL,0
EAF,INDIA,ER,OD,2022,DRI_EAF_H2,0
BOF,INDIA,ER,OD,2022,BF_BOF_CCUS,0
EAF,INDIA,ER,OD,2022,DRI_EAF_COAL,0.145675128
EAF,INDIA,ER,OD,2022,SCRAP_EAF,0.153057866
IF,INDIA,ER,OD,2022,DRI_IF_COAL,0.443707165
EAF,INDIA,ER,OD,2022,BF_EAF_CCUS,0
EAF,INDIA,ER,OD,2022,COREX_EAF_CCUS,0
EAF,INDIA,ER,OD,2022,BF_EAF,0.385662712
IF,INDIA,ER,OD,2022,SCRAP_IF,0.556292835
BOF,INDIA,ER,OD,2022,BF_BOF,1
EAF,INDIA,ER,SK,2022,DRI_EAF_NATGAS,0
EAF,INDIA,ER,SK,2022,COREX_EAF_COAL,0
EAF,INDIA,ER,SK,2022,DRI_EAF_H2,0
BOF,INDIA,ER,SK,2022,BF_BOF,0
EAF,INDIA,ER,SK,2022,DRI_EAF_COAL,0
EAF,INDIA,ER,SK,2022,SCRAP_EAF,0
IF,INDIA,ER,SK,2022,DRI_IF_COAL,0
IF,INDIA,ER,SK,2022,SCRAP_IF,0
EAF,INDIA,ER,SK,2022,COREX_EAF_CCUS,0
EAF,INDIA,ER,SK,2022,BF_EAF,0
EAF,INDIA,ER,SK,2022,BF_EAF_CCUS,0
BOF,INDIA,ER,SK,2022,BF_BOF_CCUS,0
EAF,INDIA,ER,WB,2022,COREX_EAF_COAL,0
EAF,INDIA,ER,WB,2022,COREX_EAF_CCUS,0
EAF,INDIA,ER,WB,2022,DRI_EAF_H2,0
BOF,INDIA,ER,WB,2022,BF_BOF_CCUS,0
BOF,INDIA,ER,WB,2022,BF_BOF,1
EAF,INDIA,ER,WB,2022,DRI_EAF_NATGAS,0.315604294
EAF,INDIA,ER,WB,2022,BF_EAF,0.385662712
IF,INDIA,ER,WB,2022,SCRAP_IF,0.556292835
EAF,INDIA,ER,WB,2022,DRI_EAF_COAL,0.145675128
IF,INDIA,ER,WB,2022,DRI_IF_COAL,0.443707165
EAF,INDIA,ER,WB,2022,BF_EAF_CCUS,0
EAF,INDIA,ER,WB,2022,SCRAP_EAF,0.153057866
EAF,INDIA,NER,AS,2022,DRI_EAF_H2,0
EAF,INDIA,NER,AS,2022,DRI_EAF_NATGAS,0
BOF,INDIA,NER,AS,2022,BF_BOF,0
EAF,INDIA,NER,AS,2022,COREX_EAF_COAL,0
BOF,INDIA,NER,AS,2022,BF_BOF_CCUS,0
EAF,INDIA,NER,AS,2022,DRI_EAF_COAL,0
EAF,INDIA,NER,AS,2022,SCRAP_EAF,0
IF,INDIA,NER,AS,2022,DRI_IF_COAL,0.443707165
IF,INDIA,NER,AS,2022,SCRAP_IF,0.556292835
EAF,INDIA,NER,AS,2022,COREX_EAF_CCUS,0
EAF,INDIA,NER,AS,2022,BF_EAF,0
EAF,INDIA,NER,AS,2022,BF_EAF_CCUS,0
EAF,INDIA,NER,NE,2022,COREX_EAF_COAL,0
EAF,INDIA,NER,NE,2022,BF_EAF,0
EAF,INDIA,NER,NE,2022,COREX_EAF_CCUS,0
EAF,INDIA,NER,NE,2022,BF_EAF_CCUS,0
IF,INDIA,NER,NE,2022,DRI_IF_COAL,0.443707165
EAF,INDIA,NER,NE,2022,SCRAP_EAF,0
EAF,INDIA,NER,NE,2022,DRI_EAF_NATGAS,0
IF,INDIA,NER,NE,2022,SCRAP_IF,0.556292835
BOF,INDIA,NER,NE,2022,BF_BOF,0
BOF,INDIA,NER,NE,2022,BF_BOF_CCUS,0
EAF,INDIA,NER,NE,2022,DRI_EAF_H2,0
EAF,INDIA,NER,NE,2022,DRI_EAF_COAL,0
