EnergyCarrier,ModelGeography,SubGeography1,Year,NonEnergyShare,DomesticPrice,AVTaxOHDom,FixedTaxOHDom,ImportPrice,AVTaxOHImp,FixedTaxOHImp
CRUDE,INDIA,,2020,0,27328.76135,0.1,51.2,30365.29039,0,52
CRUDE,INDIA,,2021,0,18704.03459,0.1,51.2,20782.26066,0,52
CRUDE,INDIA,,2022,0,20184.09298,0.1,51.2,22426.76998,0,52
CRUDE,INDIA,,2023,0,22984.9815,0.1,51.2,25538.86834,0,52
CRUDE,INDIA,,2024,0,24020.01073,0.1,51.2,26688.90081,0,52
CRUDE,INDIA,,2025,0,25136.15015,0.1,51.2,27929.05573,0,52
CRUDE,INDIA,,2026,0,26237.44607,0.1,51.2,29152.71786,0,52
CRUDE,INDIA,,2027,0,27383.88007,0.1,51.2,30426.53342,0,52
CRUDE,INDIA,,2028,0,28580.40702,0.1,51.2,31756.0078,0,52
CRUDE,INDIA,,2029,0,29829.21571,0.1,51.2,33143.57301,0,52
CRUDE,INDIA,,2030,0,31132.59055,0.1,51.2,34591.76728,0,52
CRUDE,INDIA,,2031,0,32492.9158,0.1,51.2,36103.23978,0,52
BIOMASS,INDIA,,2020,0,3494.357858,0,0,3494.357858,0,0
BIOMASS,INDIA,,2021,0,3576.897858,0,0,3576.897858,0,0
BIOMASS,INDIA,,2022,0,3659.931161,0,0,3659.931161,0,0
BIOMASS,INDIA,,2023,0,3746.105731,0,0,3746.105731,0,0
BIOMASS,INDIA,,2024,0,3833.678688,0,0,3833.678688,0,0
BIOMASS,INDIA,,2025,0,3923.210754,0,0,3923.210754,0,0
BIOMASS,INDIA,,2026,0,4015.298456,0,0,4015.298456,0,0
BIOMASS,INDIA,,2027,0,4111.023444,0,0,4111.023444,0,0
BIOMASS,INDIA,,2028,0,4207.595139,0,0,4207.595139,0,0
BIOMASS,INDIA,,2029,0,4304.986099,0,0,4304.986099,0,0
BIOMASS,INDIA,,2030,0,4403.168825,0,0,4403.168825,0,0
BIOMASS,INDIA,,2031,0,4502.115784,0,0,4502.115784,0,0
BIOGAS,INDIA,,2020,0,34767.52448,0,0,34767.52448,0,0
BIOGAS,INDIA,,2021,0,35234.01612,0,0,35234.01612,0,0
BIOGAS,INDIA,,2022,0,35717.7527,0,0,35717.7527,0,0
BIOGAS,INDIA,,2023,0,36188.11914,0,0,36188.11914,0,0
BIOGAS,INDIA,,2024,0,36686.91238,0,0,36686.91238,0,0
BIOGAS,INDIA,,2025,0,37171.70968,0,0,37171.70968,0,0
BIOGAS,INDIA,,2026,0,37675.0645,0,0,37675.0645,0,0
BIOGAS,INDIA,,2027,0,38193.57665,0,0,38193.57665,0,0
BIOGAS,INDIA,,2028,0,38714.09218,0,0,38714.09218,0,0
BIOGAS,INDIA,,2029,0,39242.71565,0,0,39242.71565,0,0
BIOGAS,INDIA,,2030,0,39779.52731,0,0,39779.52731,0,0
BIOGAS,INDIA,,2031,0,40324.60717,0,0,40324.60717,0,0
NATGAS,INDIA,,2020,0.360460813,7824.49998,0.0875,0,19375.90309,0.025,0
NATGAS,INDIA,,2021,0.360460813,7394.1524811,0.0875,0,13241.492172,0.025,0
NATGAS,INDIA,,2022,0.360460813,7763.8601052,0.0875,0,15320.604078,0.025,0
NATGAS,INDIA,,2023,0.360460813,8152.0531101,0.0875,0,15729.825474,0.025,0
NATGAS,INDIA,,2024,0.360460813,8559.6557661,0.0875,0,16149.287484,0.025,0
NATGAS,INDIA,,2025,0.360460813,8987.638554,0.0875,0,16579.236051,0.025,0
NATGAS,INDIA,,2026,0.360460813,9437.020479,0.0875,0,17019.922842,0.025,0
NATGAS,INDIA,,2027,0.360460813,9908.871507,0.0875,0,17556.163947,0.025,0
NATGAS,INDIA,,2028,0.360460813,10404.315081,0.0875,0,18109.300221,0.025,0
NATGAS,INDIA,,2029,0.360460813,10924.53084,0.0875,0,18679.863987,0.025,0
NATGAS,INDIA,,2030,0.360460813,11470.757373,0.0875,0,19268.404308,0.025,0
NATGAS,INDIA,,2031,0.360460813,12044.295243,0.0875,0,19875.487581,0.025,0
