EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,Elasticity
OTHER_ALL,LPG,ALL,INDIA,,,2021,1.559142049
OTHER_ALL,LPG,ALL,INDIA,,,2022,1.450002106
OTHER_ALL,LPG,ALL,INDIA,,,2023,1.348501959
OTHER_ALL,LPG,ALL,INDIA,,,2024,1.254106821
OTHER_ALL,LPG,ALL,INDIA,,,2025,1.166319344
OTHER_ALL,LPG,ALL,INDIA,,,2026,1.08467699
OTHER_ALL,LPG,ALL,INDIA,,,2027,1.008749601
OTHER_ALL,LPG,ALL,INDIA,,,2028,0.938137129
OTHER_ALL,LPG,ALL,INDIA,,,2029,0.87246753
OTHER_ALL,LPG,ALL,INDIA,,,2030,0.811394802
OTHER_ALL,LPG,ALL,INDIA,,,2031,0.754597166
OTHER_ALL,HSD,ALL,INDIA,,,2021,0.11602558
OTHER_ALL,HSD,ALL,INDIA,,,2022,0.11602558
OTHER_ALL,HSD,ALL,INDIA,,,2023,0.11602558
OTHER_ALL,HSD,ALL,INDIA,,,2024,0.11602558
OTHER_ALL,HSD,ALL,INDIA,,,2025,0.11602558
OTHER_ALL,HSD,ALL,INDIA,,,2026,0.11602558
OTHER_ALL,HSD,ALL,INDIA,,,2027,0.11602558
OTHER_ALL,HSD,ALL,INDIA,,,2028,0.11602558
OTHER_ALL,HSD,ALL,INDIA,,,2029,0.11602558
OTHER_ALL,HSD,ALL,INDIA,,,2030,0.11602558
OTHER_ALL,HSD,ALL,INDIA,,,2031,0.11602558
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2021,-0.84142052
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2022,-0.84142052
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2023,-0.84142052
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2024,-0.84142052
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2025,-0.84142052
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2026,-0.84142052
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2027,-0.84142052
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2028,-0.84142052
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2029,-0.84142052
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2030,-0.84142052
OTHER_ALL,PP_OTHER,ALL,INDIA,,,2031,-0.84142052
OTHER_ALL,NATGAS,ALL,INDIA,,,2021,-0.971391957
OTHER_ALL,NATGAS,ALL,INDIA,,,2022,-0.971391957
OTHER_ALL,NATGAS,ALL,INDIA,,,2023,-0.971391957
