EnergyStorTech,ModelGeography,InstYear,Year,FixedCost,Efficiency
FOURHR_BATTERY,INDIA,2020,2021,2718.831979,0.8
FOURHR_BATTERY,INDIA,2020,2022,2718.831979,0.8
FOURHR_BATTERY,INDIA,2020,2023,2718.831979,0.8
FOURHR_BATTERY,INDIA,2020,2024,2718.831979,0.8
FOURHR_BATTERY,INDIA,2020,2025,2718.831979,0.8
FOURHR_BATTERY,INDIA,2020,2026,2718.831979,0.8
FOURHR_BATTERY,INDIA,2020,2027,2718.831979,0.8
FOURHR_BATTERY,INDIA,2020,2028,2718.831979,0.8
FOURHR_BATTERY,INDIA,2020,2029,2718.831979,0.8
FOURHR_BATTERY,INDIA,2020,2030,2718.831979,0.8
FOURHR_BATTERY,INDIA,2020,2031,2718.831979,0.8
FOURHR_BATTERY,INDIA,2021,2021,2595.186691,0.8
FOURHR_BATTERY,INDIA,2021,2022,2595.186691,0.8
FOURHR_BATTERY,INDIA,2021,2023,2595.186691,0.8
FOURHR_BATTERY,INDIA,2021,2024,2595.186691,0.8
FOURHR_BATTERY,INDIA,2021,2025,2595.186691,0.8
FOURHR_BATTERY,INDIA,2021,2026,2595.186691,0.8
FOURHR_BATTERY,INDIA,2021,2027,2595.186691,0.8
FOURHR_BATTERY,INDIA,2021,2028,2595.186691,0.8
FOURHR_BATTERY,INDIA,2021,2029,2595.186691,0.8
FOURHR_BATTERY,INDIA,2021,2030,2595.186691,0.8
FOURHR_BATTERY,INDIA,2021,2031,2595.186691,0.8
FOURHR_BATTERY,INDIA,2022,2022,2423.503742,0.8
FOURHR_BATTERY,INDIA,2022,2023,2423.503742,0.8
FOURHR_BATTERY,INDIA,2022,2024,2423.503742,0.8
FOURHR_BATTERY,INDIA,2022,2025,2423.503742,0.8
FOURHR_BATTERY,INDIA,2022,2026,2423.503742,0.8
FOURHR_BATTERY,INDIA,2022,2027,2423.503742,0.8
FOURHR_BATTERY,INDIA,2022,2028,2423.503742,0.8
FOURHR_BATTERY,INDIA,2022,2029,2423.503742,0.8
FOURHR_BATTERY,INDIA,2022,2030,2423.503742,0.8
FOURHR_BATTERY,INDIA,2022,2031,2423.503742,0.8
FOURHR_BATTERY,INDIA,2023,2023,2255.308791,0.8
FOURHR_BATTERY,INDIA,2023,2024,2255.308791,0.8
FOURHR_BATTERY,INDIA,2023,2025,2255.308791,0.8
FOURHR_BATTERY,INDIA,2023,2026,2255.308791,0.8
FOURHR_BATTERY,INDIA,2023,2027,2255.308791,0.8
FOURHR_BATTERY,INDIA,2023,2028,2255.308791,0.8
FOURHR_BATTERY,INDIA,2023,2029,2255.308791,0.8
FOURHR_BATTERY,INDIA,2023,2030,2255.308791,0.8
FOURHR_BATTERY,INDIA,2023,2031,2255.308791,0.8
FOURHR_BATTERY,INDIA,2024,2024,2093.202486,0.8
FOURHR_BATTERY,INDIA,2024,2025,2093.202486,0.8
FOURHR_BATTERY,INDIA,2024,2026,2093.202486,0.8
FOURHR_BATTERY,INDIA,2024,2027,2093.202486,0.8
FOURHR_BATTERY,INDIA,2024,2028,2093.202486,0.8
FOURHR_BATTERY,INDIA,2024,2029,2093.202486,0.8
FOURHR_BATTERY,INDIA,2024,2030,2093.202486,0.8
FOURHR_BATTERY,INDIA,2024,2031,2093.202486,0.8
FOURHR_BATTERY,INDIA,2025,2025,1936.507608,0.8
FOURHR_BATTERY,INDIA,2025,2026,1936.507608,0.8
FOURHR_BATTERY,INDIA,2025,2027,1936.507608,0.8
FOURHR_BATTERY,INDIA,2025,2028,1936.507608,0.8
