EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,Elasticity
IND_ALL,LPG,ALL,INDIA,,,2021,0.143342203
IND_ALL,LPG,ALL,INDIA,,,2022,0.143342203
IND_ALL,LPG,ALL,INDIA,,,2023,0.143342203
IND_ALL,LPG,ALL,INDIA,,,2024,0.143342203
IND_ALL,LPG,ALL,INDIA,,,2025,0.143342203
IND_ALL,LPG,ALL,INDIA,,,2026,0.143342203
IND_ALL,LPG,ALL,INDIA,,,2027,0.143342203
IND_ALL,LPG,ALL,INDIA,,,2028,0.143342203
IND_ALL,LPG,ALL,INDIA,,,2029,0.143342203
IND_ALL,LPG,ALL,INDIA,,,2030,0.143342203
IND_ALL,LPG,ALL,INDIA,,,2031,0.143342203
IND_ALL,HSD,ALL,INDIA,,,2021,0.313582901
IND_ALL,HSD,ALL,INDIA,,,2022,0.313582901
IND_ALL,HSD,ALL,INDIA,,,2023,0.313582901
IND_ALL,HSD,ALL,INDIA,,,2024,0.313582901
IND_ALL,HSD,ALL,INDIA,,,2025,0.313582901
IND_ALL,HSD,ALL,INDIA,,,2026,0.313582901
IND_ALL,HSD,ALL,INDIA,,,2027,0.313582901
IND_ALL,HSD,ALL,INDIA,,,2028,0.313582901
IND_ALL,HSD,ALL,INDIA,,,2029,0.313582901
IND_ALL,HSD,ALL,INDIA,,,2030,0.313582901
IND_ALL,HSD,ALL,INDIA,,,2031,0.313582901
IND_ALL,PP_OTHER,ALL,INDIA,,,2021,1.219595428
IND_ALL,PP_OTHER,ALL,INDIA,,,2022,1.19520352
IND_ALL,PP_OTHER,ALL,INDIA,,,2023,1.171299449
IND_ALL,PP_OTHER,ALL,INDIA,,,2024,1.14787346
IND_ALL,PP_OTHER,ALL,INDIA,,,2025,1.124915991
IND_ALL,PP_OTHER,ALL,INDIA,,,2026,1.102417671
IND_ALL,PP_OTHER,ALL,INDIA,,,2027,1.080369318
IND_ALL,PP_OTHER,ALL,INDIA,,,2028,1.058761931
IND_ALL,PP_OTHER,ALL,INDIA,,,2029,1.037586693
IND_ALL,PP_OTHER,ALL,INDIA,,,2030,1.016834959
IND_ALL,PP_OTHER,ALL,INDIA,,,2031,0.99649826
IND_ALL,NATGAS,ALL,INDIA,,,2021,1.730496491
IND_ALL,NATGAS,ALL,INDIA,,,2022,1.609361736
IND_ALL,NATGAS,ALL,INDIA,,,2023,1.496706415
IND_ALL,NATGAS,ALL,INDIA,,,2024,1.391936966
IND_ALL,NATGAS,ALL,INDIA,,,2025,1.294501378
IND_ALL,NATGAS,ALL,INDIA,,,2026,1.203886282
IND_ALL,NATGAS,ALL,INDIA,,,2027,1.119614242
IND_ALL,NATGAS,ALL,INDIA,,,2028,1.041241245
IND_ALL,NATGAS,ALL,INDIA,,,2029,0.968354358
IND_ALL,NATGAS,ALL,INDIA,,,2030,0.900569553
IND_ALL,NATGAS,ALL,INDIA,,,2031,0.837529684
