Year,ModelGeography,SubGeography1,GDP
2020,INDIA,ER,23738390.47
2021,INDIA,ER,21574529.28
2022,INDIA,ER,23422740.55
2023,INDIA,ER,25020058.98
2024,INDIA,ER,26385248.82
2025,INDIA,ER,27790306.88
2026,INDIA,ER,29249131.55
2027,INDIA,ER,30756650.32
2028,INDIA,ER,32339326.39
2029,INDIA,ER,34000756.09
2030,INDIA,ER,35744698.95
2031,INDIA,ER,37575084.71
2020,INDIA,NER,5384212.504
2021,INDIA,NER,4957274.804
2022,INDIA,NER,5453376.066
2023,INDIA,NER,5903888.153
2024,INDIA,NER,6311458.621
2025,INDIA,NER,6740283.137
2026,INDIA,NER,7194695.211
2027,INDIA,NER,7674541.036
2028,INDIA,NER,8187638.336
2029,INDIA,NER,8736389.934
2030,INDIA,NER,9323381.502
2031,INDIA,NER,9951396.336
2020,INDIA,NR,52308265.32
2021,INDIA,NR,48035436.21
2022,INDIA,NR,52694862.54
2023,INDIA,NR,56877156.27
2024,INDIA,NR,60609200.7
2025,INDIA,NR,64507079.71
2026,INDIA,NR,68607653.86
2027,INDIA,NR,72904288.31
2028,INDIA,NR,77465506.57
2029,INDIA,NR,82307279.7
2030,INDIA,NR,87446519.65
2031,INDIA,NR,92901132.98
2020,INDIA,SR,57575301.12
2021,INDIA,SR,53151524.57
2022,INDIA,SR,58614036.16
2023,INDIA,SR,63597753.73
2024,INDIA,SR,68124621.73
2025,INDIA,SR,72882888.95
2026,INDIA,SR,77917378.69
2027,INDIA,SR,83224125.2
2028,INDIA,SR,88885245.09
2029,INDIA,SR,94923854.56
2030,INDIA,SR,101364535.7
2031,INDIA,SR,108233426.3
2020,INDIA,WR,57496667.88
2021,INDIA,WR,53133354.07
2022,INDIA,WR,58661341.67
2023,INDIA,WR,63730189.04
2024,INDIA,WR,68362068.04
2025,INDIA,WR,73248593.23
2026,INDIA,WR,78437904.4
2027,INDIA,WR,83929471.13
2028,INDIA,WR,89809960.53
2029,INDIA,WR,96107232.97
2030,INDIA,WR,102851162.9
2031,INDIA,WR,110073785.1
