InstYear,EnergyConvTechFiltered,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,ECTInputDom
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,0.07112427327453208
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,0.1318373005817617
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,0.0770223353478993
2020,EG_COAL,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,1.427692780226503e-05
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,0.07112427327453208
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,0.15331826548556118
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,NR,0.019608783263254853
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,0.0707763546457838
2020,EG_COAL,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,0.0004880968679816268
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,ER,0.07112427327453208
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,WR,0.14062855764400348
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,NR,0.02444375949455584
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,SR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,MID,INDIA,NER,0.0009619168081609886
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,0.07112427327453208
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,0.12277249172902478
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,0.03707327130520018
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,0.0770223353478993
2020,EG_COAL,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,0.001342489830508191
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,0.09483236436604278
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,0.20107296422580542
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,0.094731812403374
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,0.0
2020,EG_COAL,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,0.0016846931206377302
