ModelGeography,Year,SubGeography1,SubGeography2,SECONDARY+PRIMARY
INDIA,2023,NR,PB,0
INDIA,2024,NR,PB,0
INDIA,2025,NR,PB,0
INDIA,2026,NR,PB,0
INDIA,2027,NR,PB,0
INDIA,2028,NR,PB,0
INDIA,2029,NR,PB,0
INDIA,2030,NR,PB,0
INDIA,2031,NR,PB,0
INDIA,2032,NR,PB,0
INDIA,2033,NR,PB,0
INDIA,2034,NR,PB,0
INDIA,2035,NR,PB,0
INDIA,2036,NR,PB,0
INDIA,2037,NR,PB,0
INDIA,2038,NR,PB,0
INDIA,2039,NR,PB,0
INDIA,2040,NR,PB,0
INDIA,2041,NR,PB,0
INDIA,2022,NR,UP,0.164197829
INDIA,2023,NR,UP,0.164197829
INDIA,2024,NR,UP,0.175803117
INDIA,2025,NR,UP,0.185441651
INDIA,2026,NR,UP,0.195593554
INDIA,2027,NR,UP,0.20611671
INDIA,2028,NR,UP,0.217065031
INDIA,2029,NR,UP,0.22858309
INDIA,2030,NR,UP,0.24069958
INDIA,2031,NR,UP,0.253445098
INDIA,2032,NR,UP,0.266656738
INDIA,2033,NR,UP,0.280398079
INDIA,2034,NR,UP,0.294838884
INDIA,2035,NR,UP,0.310010706
INDIA,2036,NR,UP,0.325953491
INDIA,2037,NR,UP,0.342705119
INDIA,2038,NR,UP,0.360527462
INDIA,2039,NR,UP,0.379311449
INDIA,2040,NR,UP,0.399108458
INDIA,2041,NR,UP,0.419972923
INDIA,2022,NR,UK,0
INDIA,2023,NR,UK,0
INDIA,2024,NR,UK,0
INDIA,2025,NR,UK,0
INDIA,2026,NR,UK,0
INDIA,2027,NR,UK,0
INDIA,2028,NR,UK,0
INDIA,2029,NR,UK,0
INDIA,2030,NR,UK,0
INDIA,2031,NR,UK,0
INDIA,2032,NR,UK,0
INDIA,2033,NR,UK,0
INDIA,2034,NR,UK,0
INDIA,2035,NR,UK,0
INDIA,2036,NR,UK,0
INDIA,2037,NR,UK,0
INDIA,2038,NR,UK,0
INDIA,2039,NR,UK,0
INDIA,2040,NR,UK,0
INDIA,2041,NR,UK,0
INDIA,2022,WR,CG,0
INDIA,2023,WR,CG,0
INDIA,2024,WR,CG,0
INDIA,2025,WR,CG,0
INDIA,2026,WR,CG,0
INDIA,2027,WR,CG,0
INDIA,2028,WR,CG,0
INDIA,2029,WR,CG,0
INDIA,2030,WR,CG,0
INDIA,2031,WR,CG,0
INDIA,2032,WR,CG,0
INDIA,2033,WR,CG,0
INDIA,2034,WR,CG,0
INDIA,2035,WR,CG,0
INDIA,2036,WR,CG,0
INDIA,2037,WR,CG,0
INDIA,2038,WR,CG,0
INDIA,2039,WR,CG,0
INDIA,2040,WR,CG,0
INDIA,2041,WR,CG,0
INDIA,2022,WR,GA,0
INDIA,2023,WR,GA,0
INDIA,2024,WR,GA,0
INDIA,2025,WR,GA,0
INDIA,2026,WR,GA,0
INDIA,2027,WR,GA,0
INDIA,2028,WR,GA,0
INDIA,2029,WR,GA,0
INDIA,2030,WR,GA,0
INDIA,2031,WR,GA,0
INDIA,2032,WR,GA,0
INDIA,2033,WR,GA,0
INDIA,2034,WR,GA,0
INDIA,2035,WR,GA,0
INDIA,2036,WR,GA,0
INDIA,2037,WR,GA,0
INDIA,2038,WR,GA,0
INDIA,2039,WR,GA,0
INDIA,2040,WR,GA,0
INDIA,2041,WR,GA,0
INDIA,2022,WR,GJ,0
INDIA,2023,WR,GJ,0
INDIA,2024,WR,GJ,0
INDIA,2025,WR,GJ,0
INDIA,2026,WR,GJ,0
INDIA,2027,WR,GJ,0
INDIA,2028,WR,GJ,0
INDIA,2029,WR,GJ,0
INDIA,2030,WR,GJ,0
INDIA,2031,WR,GJ,0
INDIA,2032,WR,GJ,0
INDIA,2033,WR,GJ,0
INDIA,2034,WR,GJ,0
INDIA,2035,WR,GJ,0
INDIA,2036,WR,GJ,0
INDIA,2037,WR,GJ,0
INDIA,2038,WR,GJ,0
INDIA,2039,WR,GJ,0
INDIA,2040,WR,GJ,0
INDIA,2041,WR,GJ,0
INDIA,2022,WR,MP,0.380057901
INDIA,2023,WR,MP,0.380057901
INDIA,2024,WR,MP,0.406919898
INDIA,2025,WR,MP,0.429229578
INDIA,2026,WR,MP,0.452727518
INDIA,2027,WR,MP,0.477084775
INDIA,2028,WR,MP,0.502426133
INDIA,2029,WR,MP,0.529086225
INDIA,2030,WR,MP,0.557131466
INDIA,2031,WR,MP,0.586632677
INDIA,2032,WR,MP,0.617212792
INDIA,2033,WR,MP,0.649018968
INDIA,2034,WR,MP,0.682444148
INDIA,2035,WR,MP,0.717561366
INDIA,2036,WR,MP,0.754463079
INDIA,2037,WR,MP,0.793236972
INDIA,2038,WR,MP,0.834489175
INDIA,2039,WR,MP,0.877967231
INDIA,2040,WR,MP,0.923790066
INDIA,2041,WR,MP,0.972083667
INDIA,2022,WR,MH,0
INDIA,2023,WR,MH,0
INDIA,2024,WR,MH,0
INDIA,2025,WR,MH,0
INDIA,2026,WR,MH,0
INDIA,2027,WR,MH,0
INDIA,2028,WR,MH,0
INDIA,2029,WR,MH,0
INDIA,2030,WR,MH,0
INDIA,2031,WR,MH,0
INDIA,2032,WR,MH,0
INDIA,2033,WR,MH,0
INDIA,2034,WR,MH,0
INDIA,2035,WR,MH,0
INDIA,2036,WR,MH,0
INDIA,2037,WR,MH,0
INDIA,2038,WR,MH,0
INDIA,2039,WR,MH,0
INDIA,2040,WR,MH,0
INDIA,2041,WR,MH,0
INDIA,2022,NR,RJ,0
INDIA,2023,NR,RJ,0
INDIA,2024,NR,RJ,0
INDIA,2025,NR,RJ,0
INDIA,2026,NR,RJ,0
INDIA,2027,NR,RJ,0
INDIA,2028,NR,RJ,0
INDIA,2029,NR,RJ,0
INDIA,2030,NR,RJ,0
INDIA,2031,NR,RJ,0
INDIA,2032,NR,RJ,0
INDIA,2033,NR,RJ,0
INDIA,2034,NR,RJ,0
INDIA,2035,NR,RJ,0
INDIA,2036,NR,RJ,0
INDIA,2037,NR,RJ,0
INDIA,2038,NR,RJ,0
INDIA,2039,NR,RJ,0
INDIA,2040,NR,RJ,0
INDIA,2041,NR,RJ,0
INDIA,2022,SR,AP,0
INDIA,2023,SR,AP,0
INDIA,2024,SR,AP,0
INDIA,2025,SR,AP,0
INDIA,2026,SR,AP,0
INDIA,2027,SR,AP,0
INDIA,2028,SR,AP,0
INDIA,2029,SR,AP,0
INDIA,2030,SR,AP,0
INDIA,2031,SR,AP,0
INDIA,2032,SR,AP,0
INDIA,2033,SR,AP,0
INDIA,2034,SR,AP,0
INDIA,2035,SR,AP,0
INDIA,2036,SR,AP,0
INDIA,2037,SR,AP,0
INDIA,2038,SR,AP,0
INDIA,2039,SR,AP,0
INDIA,2040,SR,AP,0
INDIA,2041,SR,AP,0
INDIA,2022,SR,KA,0
INDIA,2023,SR,KA,0
INDIA,2024,SR,KA,0
INDIA,2025,SR,KA,0
INDIA,2026,SR,KA,0
INDIA,2027,SR,KA,0
INDIA,2028,SR,KA,0
INDIA,2029,SR,KA,0
INDIA,2030,SR,KA,0
INDIA,2031,SR,KA,0
INDIA,2032,SR,KA,0
INDIA,2033,SR,KA,0
INDIA,2034,SR,KA,0
INDIA,2035,SR,KA,0
INDIA,2036,SR,KA,0
INDIA,2037,SR,KA,0
INDIA,2038,SR,KA,0
INDIA,2039,SR,KA,0
INDIA,2040,SR,KA,0
INDIA,2041,SR,KA,0
INDIA,2022,SR,KL,0
INDIA,2023,SR,KL,0
INDIA,2024,SR,KL,0
INDIA,2025,SR,KL,0
INDIA,2026,SR,KL,0
INDIA,2027,SR,KL,0
INDIA,2028,SR,KL,0
INDIA,2029,SR,KL,0
INDIA,2030,SR,KL,0
INDIA,2031,SR,KL,0
INDIA,2032,SR,KL,0
INDIA,2033,SR,KL,0
INDIA,2034,SR,KL,0
INDIA,2035,SR,KL,0
INDIA,2036,SR,KL,0
INDIA,2037,SR,KL,0
INDIA,2038,SR,KL,0
INDIA,2039,SR,KL,0
INDIA,2040,SR,KL,0
INDIA,2041,SR,KL,0
INDIA,2022,SR,TN,0
INDIA,2023,SR,TN,0
INDIA,2024,SR,TN,0
INDIA,2025,SR,TN,0
INDIA,2026,SR,TN,0
INDIA,2027,SR,TN,0
INDIA,2028,SR,TN,0
INDIA,2029,SR,TN,0
INDIA,2030,SR,TN,0
INDIA,2031,SR,TN,0
INDIA,2032,SR,TN,0
INDIA,2033,SR,TN,0
INDIA,2034,SR,TN,0
INDIA,2035,SR,TN,0
INDIA,2036,SR,TN,0
INDIA,2037,SR,TN,0
INDIA,2038,SR,TN,0
INDIA,2039,SR,TN,0
INDIA,2040,SR,TN,0
INDIA,2041,SR,TN,0
INDIA,2022,SR,TS,0
INDIA,2023,SR,TS,0
INDIA,2024,SR,TS,0
INDIA,2025,SR,TS,0
INDIA,2026,SR,TS,0
INDIA,2027,SR,TS,0
INDIA,2028,SR,TS,0
INDIA,2029,SR,TS,0
INDIA,2030,SR,TS,0
INDIA,2031,SR,TS,0
INDIA,2032,SR,TS,0
INDIA,2033,SR,TS,0
INDIA,2034,SR,TS,0
INDIA,2035,SR,TS,0
INDIA,2036,SR,TS,0
INDIA,2037,SR,TS,0
INDIA,2038,SR,TS,0
INDIA,2039,SR,TS,0
INDIA,2040,SR,TS,0
INDIA,2041,SR,TS,0
INDIA,2022,ER,BR,0
INDIA,2023,ER,BR,0
INDIA,2024,ER,BR,0
INDIA,2025,ER,BR,0
INDIA,2026,ER,BR,0
INDIA,2027,ER,BR,0
INDIA,2028,ER,BR,0
INDIA,2029,ER,BR,0
INDIA,2030,ER,BR,0
INDIA,2031,ER,BR,0
INDIA,2032,ER,BR,0
INDIA,2033,ER,BR,0
INDIA,2034,ER,BR,0
INDIA,2035,ER,BR,0
INDIA,2036,ER,BR,0
INDIA,2037,ER,BR,0
INDIA,2038,ER,BR,0
INDIA,2039,ER,BR,0
INDIA,2040,ER,BR,0
INDIA,2041,ER,BR,0
INDIA,2022,ER,JH,0
INDIA,2023,ER,JH,0
INDIA,2024,ER,JH,0
INDIA,2025,ER,JH,0
INDIA,2026,ER,JH,0
INDIA,2027,ER,JH,0
INDIA,2028,ER,JH,0
INDIA,2029,ER,JH,0
INDIA,2030,ER,JH,0
INDIA,2031,ER,JH,0
INDIA,2032,ER,JH,0
INDIA,2033,ER,JH,0
INDIA,2034,ER,JH,0
INDIA,2035,ER,JH,0
INDIA,2036,ER,JH,0
INDIA,2037,ER,JH,0
INDIA,2038,ER,JH,0
INDIA,2039,ER,JH,0
INDIA,2040,ER,JH,0
INDIA,2041,ER,JH,0
INDIA,2022,ER,OD,1.11574427
INDIA,2023,ER,OD,1.11574427
INDIA,2024,ER,OD,1.194603621
INDIA,2025,ER,OD,1.260098634
INDIA,2026,ER,OD,1.329082049
INDIA,2027,ER,OD,1.40058818
INDIA,2028,ER,OD,1.474983358
INDIA,2029,ER,OD,1.553249971
INDIA,2030,ER,OD,1.635582997
INDIA,2031,ER,OD,1.722190346
INDIA,2032,ER,OD,1.811965056
INDIA,2033,ER,OD,1.905339142
INDIA,2034,ER,OD,2.003466171
INDIA,2035,ER,OD,2.106560555
INDIA,2036,ER,OD,2.214893719
INDIA,2037,ER,OD,2.32872308
INDIA,2038,ER,OD,2.449828072
INDIA,2039,ER,OD,2.577467551
INDIA,2040,ER,OD,2.711990647
INDIA,2041,ER,OD,2.853767225
INDIA,2022,ER,WB,0
INDIA,2023,ER,WB,0
INDIA,2024,ER,WB,0
INDIA,2025,ER,WB,0
INDIA,2026,ER,WB,0
INDIA,2027,ER,WB,0
INDIA,2028,ER,WB,0
INDIA,2029,ER,WB,0
INDIA,2030,ER,WB,0
INDIA,2031,ER,WB,0
INDIA,2032,ER,WB,0
INDIA,2033,ER,WB,0
INDIA,2034,ER,WB,0
INDIA,2035,ER,WB,0
INDIA,2036,ER,WB,0
INDIA,2037,ER,WB,0
INDIA,2038,ER,WB,0
INDIA,2039,ER,WB,0
INDIA,2040,ER,WB,0
INDIA,2041,ER,WB,0
INDIA,2022,ER,SK,0
INDIA,2023,ER,SK,0
INDIA,2024,ER,SK,0
INDIA,2025,ER,SK,0
INDIA,2026,ER,SK,0
INDIA,2027,ER,SK,0
INDIA,2028,ER,SK,0
INDIA,2029,ER,SK,0
INDIA,2030,ER,SK,0
INDIA,2031,ER,SK,0
INDIA,2032,ER,SK,0
INDIA,2033,ER,SK,0
INDIA,2034,ER,SK,0
INDIA,2035,ER,SK,0
INDIA,2036,ER,SK,0
INDIA,2037,ER,SK,0
INDIA,2038,ER,SK,0
INDIA,2039,ER,SK,0
INDIA,2040,ER,SK,0
INDIA,2041,ER,SK,0
INDIA,2022,NER,AS,0
INDIA,2023,NER,AS,0
INDIA,2024,NER,AS,0
INDIA,2025,NER,AS,0
INDIA,2026,NER,AS,0
INDIA,2027,NER,AS,0
INDIA,2028,NER,AS,0
INDIA,2029,NER,AS,0
INDIA,2030,NER,AS,0
INDIA,2031,NER,AS,0
INDIA,2032,NER,AS,0
INDIA,2033,NER,AS,0
INDIA,2034,NER,AS,0
INDIA,2035,NER,AS,0
INDIA,2036,NER,AS,0
INDIA,2037,NER,AS,0
INDIA,2038,NER,AS,0
INDIA,2039,NER,AS,0
INDIA,2040,NER,AS,0
INDIA,2041,NER,AS,0
INDIA,2022,NER,NE,0
INDIA,2023,NER,NE,0
INDIA,2024,NER,NE,0
INDIA,2025,NER,NE,0
INDIA,2026,NER,NE,0
INDIA,2027,NER,NE,0
INDIA,2028,NER,NE,0
INDIA,2029,NER,NE,0
INDIA,2030,NER,NE,0
INDIA,2031,NER,NE,0
INDIA,2032,NER,NE,0
INDIA,2033,NER,NE,0
INDIA,2034,NER,NE,0
INDIA,2035,NER,NE,0
INDIA,2036,NER,NE,0
INDIA,2037,NER,NE,0
INDIA,2038,NER,NE,0
INDIA,2039,NER,NE,0
INDIA,2040,NER,NE,0
INDIA,2041,NER,NE,0
