InstYear,EnergyStorTech,ModelGeography,SubGeography1,StorCapacityInstalledInYear
2022,SIXHR_BATTERY,INDIA,WR,0.0
2022,SIXHR_BATTERY,INDIA,NR,0.0
2022,SIXHR_BATTERY,INDIA,SR,0.0
2022,SIXHR_BATTERY,INDIA,NER,0.0
2022,PUMPED_STOR,INDIA,ER,0.0
2022,PUMPED_STOR,INDIA,WR,0.0
2022,PUMPED_STOR,INDIA,NR,0.0
2022,PUMPED_STOR,INDIA,SR,0.0
2022,PUMPED_STOR,INDIA,NER,0.0
2023,FOURHR_BATTERY,INDIA,ER,0.0
2023,FOURHR_BATTERY,INDIA,WR,0.0
2023,FOURHR_BATTERY,INDIA,NR,0.0
2023,FOURHR_BATTERY,INDIA,SR,0.0
2023,FOURHR_BATTERY,INDIA,NER,0.0
2023,SIXHR_BATTERY,INDIA,ER,0.0
2023,SIXHR_BATTERY,INDIA,WR,0.0
2023,SIXHR_BATTERY,INDIA,NR,0.0
2023,SIXHR_BATTERY,INDIA,SR,0.0
2023,SIXHR_BATTERY,INDIA,NER,0.0
2023,PUMPED_STOR,INDIA,ER,0.0
2023,PUMPED_STOR,INDIA,WR,0.0
2023,PUMPED_STOR,INDIA,NR,0.0
2023,PUMPED_STOR,INDIA,SR,0.0
2023,PUMPED_STOR,INDIA,NER,0.0
2024,FOURHR_BATTERY,INDIA,ER,0.0
2024,FOURHR_BATTERY,INDIA,WR,0.0
2024,FOURHR_BATTERY,INDIA,NR,0.0
2024,FOURHR_BATTERY,INDIA,SR,0.0
2024,FOURHR_BATTERY,INDIA,NER,0.0
2024,SIXHR_BATTERY,INDIA,ER,0.0
2024,SIXHR_BATTERY,INDIA,WR,0.0
2024,SIXHR_BATTERY,INDIA,NR,0.0
2024,SIXHR_BATTERY,INDIA,SR,0.0
2024,SIXHR_BATTERY,INDIA,NER,0.0
2024,PUMPED_STOR,INDIA,ER,0.0
2024,PUMPED_STOR,INDIA,WR,0.0
2024,PUMPED_STOR,INDIA,NR,5.011605784
2024,PUMPED_STOR,INDIA,SR,0.0
2024,PUMPED_STOR,INDIA,NER,0.0
2025,FOURHR_BATTERY,INDIA,ER,0.0
2025,FOURHR_BATTERY,INDIA,WR,0.0
2025,FOURHR_BATTERY,INDIA,NR,0.0
2025,FOURHR_BATTERY,INDIA,SR,0.0
2025,FOURHR_BATTERY,INDIA,NER,0.0
2025,SIXHR_BATTERY,INDIA,ER,0.0
2025,SIXHR_BATTERY,INDIA,WR,0.0
2025,SIXHR_BATTERY,INDIA,NR,0.0
2025,SIXHR_BATTERY,INDIA,SR,0.0
2025,SIXHR_BATTERY,INDIA,NER,0.0
2025,PUMPED_STOR,INDIA,ER,0.0
2025,PUMPED_STOR,INDIA,WR,0.0
2025,PUMPED_STOR,INDIA,NR,0.0
2025,PUMPED_STOR,INDIA,SR,2.505802892
2025,PUMPED_STOR,INDIA,NER,0.0
2026,FOURHR_BATTERY,INDIA,ER,0.0
2026,FOURHR_BATTERY,INDIA,WR,0.0
2026,FOURHR_BATTERY,INDIA,NR,0.0
2026,FOURHR_BATTERY,INDIA,SR,0.0
2026,FOURHR_BATTERY,INDIA,NER,0.0
2026,SIXHR_BATTERY,INDIA,ER,0.0
2026,SIXHR_BATTERY,INDIA,WR,0.0
2026,SIXHR_BATTERY,INDIA,NR,0.0
2026,SIXHR_BATTERY,INDIA,SR,0.0
2026,SIXHR_BATTERY,INDIA,NER,0.0
2026,PUMPED_STOR,INDIA,ER,0.0
2026,PUMPED_STOR,INDIA,WR,0.400928463
2026,PUMPED_STOR,INDIA,NR,0.0
2026,PUMPED_STOR,INDIA,SR,0.0
2026,PUMPED_STOR,INDIA,NER,0.0
2027,FOURHR_BATTERY,INDIA,ER,0.0
2027,FOURHR_BATTERY,INDIA,WR,0.0
2027,FOURHR_BATTERY,INDIA,NR,0.0
2027,FOURHR_BATTERY,INDIA,SR,0.0
2027,FOURHR_BATTERY,INDIA,NER,0.0
2027,SIXHR_BATTERY,INDIA,ER,0.0
2027,SIXHR_BATTERY,INDIA,WR,0.0
2027,SIXHR_BATTERY,INDIA,NR,0.0
2027,SIXHR_BATTERY,INDIA,SR,0.0
2027,SIXHR_BATTERY,INDIA,NER,0.0
2027,PUMPED_STOR,INDIA,ER,0.0
2027,PUMPED_STOR,INDIA,WR,0.0
2027,PUMPED_STOR,INDIA,NR,0.0
2027,PUMPED_STOR,INDIA,SR,0.0
2027,PUMPED_STOR,INDIA,NER,0.0
2028,FOURHR_BATTERY,INDIA,ER,0.115334018
2028,FOURHR_BATTERY,INDIA,WR,0.0
2028,FOURHR_BATTERY,INDIA,NR,1.308183081
2028,FOURHR_BATTERY,INDIA,SR,0.0
2028,FOURHR_BATTERY,INDIA,NER,0.010530448
2028,SIXHR_BATTERY,INDIA,ER,0.0
2028,SIXHR_BATTERY,INDIA,WR,0.0
2028,SIXHR_BATTERY,INDIA,NR,0.0
2028,SIXHR_BATTERY,INDIA,SR,0.0
2028,SIXHR_BATTERY,INDIA,NER,0.0
2028,PUMPED_STOR,INDIA,ER,0.0
2028,PUMPED_STOR,INDIA,WR,0.0
2028,PUMPED_STOR,INDIA,NR,0.0
2028,PUMPED_STOR,INDIA,SR,0.0
2028,PUMPED_STOR,INDIA,NER,0.0
2029,FOURHR_BATTERY,INDIA,ER,0.229911572
2029,FOURHR_BATTERY,INDIA,WR,2.395183113
2029,FOURHR_BATTERY,INDIA,NR,2.6077859219999997
2029,FOURHR_BATTERY,INDIA,SR,6.078466210999999
2029,FOURHR_BATTERY,INDIA,NER,0.020991826
2029,SIXHR_BATTERY,INDIA,ER,0.34486735700000004
2029,SIXHR_BATTERY,INDIA,WR,3.592774669
2029,SIXHR_BATTERY,INDIA,NR,3.9116788839999996
2029,SIXHR_BATTERY,INDIA,SR,9.117699316
2029,SIXHR_BATTERY,INDIA,NER,0.03148774
2029,PUMPED_STOR,INDIA,ER,0.0
2029,PUMPED_STOR,INDIA,WR,0.0
2029,PUMPED_STOR,INDIA,NR,0.0
2029,PUMPED_STOR,INDIA,SR,0.0
2029,PUMPED_STOR,INDIA,NER,0.0
2030,FOURHR_BATTERY,INDIA,ER,0.4583151760000001
2030,FOURHR_BATTERY,INDIA,WR,4.774656466000001
2030,FOURHR_BATTERY,INDIA,NR,5.198467645
2030,FOURHR_BATTERY,INDIA,SR,12.117064384999999
2030,FOURHR_BATTERY,INDIA,NER,0.04184597
2030,SIXHR_BATTERY,INDIA,ER,0.0
2030,SIXHR_BATTERY,INDIA,WR,0.0
2030,SIXHR_BATTERY,INDIA,NR,0.0
2030,SIXHR_BATTERY,INDIA,SR,0.0
2030,SIXHR_BATTERY,INDIA,NER,0.062768954
2030,PUMPED_STOR,INDIA,ER,0.0
2030,PUMPED_STOR,INDIA,WR,0.0
2030,PUMPED_STOR,INDIA,NR,0.0
2030,PUMPED_STOR,INDIA,SR,0.0
2030,PUMPED_STOR,INDIA,NER,0.0
2031,FOURHR_BATTERY,INDIA,ER,0.0
2031,FOURHR_BATTERY,INDIA,WR,0.0
2031,FOURHR_BATTERY,INDIA,NR,0.0
2031,FOURHR_BATTERY,INDIA,SR,0.0
2031,FOURHR_BATTERY,INDIA,NER,0.0
2031,SIXHR_BATTERY,INDIA,ER,0.0
2031,SIXHR_BATTERY,INDIA,WR,0.0
2031,SIXHR_BATTERY,INDIA,NR,0.0
2031,SIXHR_BATTERY,INDIA,SR,0.0
2031,SIXHR_BATTERY,INDIA,NER,0.0
2031,PUMPED_STOR,INDIA,ER,0.0
2031,PUMPED_STOR,INDIA,WR,0.0
2031,PUMPED_STOR,INDIA,NR,0.0
2031,PUMPED_STOR,INDIA,SR,0.0
2031,PUMPED_STOR,INDIA,NER,0.0
