EnergyConvTech,ModelGeography,SubGeography1,InstYear,Year,ConvEff,FixedCost,VarCost,MaxAnnualUF
RF_LPG,INDIA,,2020,2021,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2020,2022,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2020,2023,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2020,2024,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2020,2025,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2020,2026,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2020,2027,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2020,2028,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2020,2029,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2020,2030,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2020,2031,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2021,2021,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2021,2022,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2022,2022,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2021,2023,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2022,2023,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2023,2023,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2021,2024,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2022,2024,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2023,2024,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2024,2024,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2021,2025,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2022,2025,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2023,2025,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2024,2025,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2025,2025,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2021,2026,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2022,2026,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2023,2026,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2024,2026,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2025,2026,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2026,2026,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2021,2027,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2022,2027,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2023,2027,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2024,2027,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2025,2027,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2026,2027,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2027,2027,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2021,2028,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2022,2028,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2023,2028,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2024,2028,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2025,2028,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2026,2028,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2027,2028,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2028,2028,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2021,2029,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2022,2029,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2023,2029,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2024,2029,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2025,2029,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2026,2029,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2027,2029,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2028,2029,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2029,2029,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2021,2030,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2022,2030,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2023,2030,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2024,2030,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2025,2030,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2026,2030,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2027,2030,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2028,2030,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2029,2030,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2030,2030,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2021,2031,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2022,2031,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2023,2031,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2024,2031,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2025,2031,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2026,2031,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2027,2031,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2028,2031,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2029,2031,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2030,2031,0.98,5705.334712,6889.270914,1
RF_LPG,INDIA,,2031,2031,0.98,5705.334712,6889.270914,1
RF_MS,INDIA,,2020,2021,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2020,2022,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2020,2023,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2020,2024,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2020,2025,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2020,2026,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2020,2027,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2020,2028,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2020,2029,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2020,2030,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2020,2031,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2021,2021,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2021,2022,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2022,2022,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2021,2023,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2022,2023,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2023,2023,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2021,2024,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2022,2024,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2023,2024,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2024,2024,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2021,2025,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2022,2025,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2023,2025,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2024,2025,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2025,2025,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2021,2026,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2022,2026,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2023,2026,0.98,5705.334712,1864.278928,1
RF_MS,INDIA,,2024,2026,0.98,5705.334712,1864.278928,1
