EnergyCarrier,ModelGeography,SubGeography1,Year,NonEnergyShare,DomesticPrice,AVTaxOHDom,FixedTaxOHDom,ImportPrice,AVTaxOHImp,FixedTaxOHImp
CRUDE,INDIA,,2020,0,27328.76135,0.1,51.2,30365.29039,0,52
CRUDE,INDIA,,2021,0,18704.03459,0.1,51.2,20782.26066,0,52
CRUDE,INDIA,,2022,0,20184.09298,0.1,51.2,22426.76998,0,52
CRUDE,INDIA,,2023,0,22984.9815,0.1,51.2,25538.86834,0,52
CRUDE,INDIA,,2024,0,24020.01073,0.1,51.2,26688.90081,0,52
CRUDE,INDIA,,2025,0,25136.15015,0.1,51.2,27929.05573,0,52
CRUDE,INDIA,,2026,0,26237.44607,0.1,51.2,29152.71786,0,52
CRUDE,INDIA,,2027,0,27383.88007,0.1,51.2,30426.53342,0,52
CRUDE,INDIA,,2028,0,28580.40702,0.1,51.2,31756.0078,0,52
CRUDE,INDIA,,2029,0,29829.21571,0.1,51.2,33143.57301,0,52
CRUDE,INDIA,,2030,0,31132.59055,0.1,51.2,34591.76728,0,52
CRUDE,INDIA,,2031,0,32492.9158,0.1,51.2,36103.23978,0,52
BIOMASS,INDIA,,2020,0,3494.357858,0,0,3494.357858,0,0
BIOMASS,INDIA,,2021,0,3576.897858,0,0,3576.897858,0,0
BIOMASS,INDIA,,2022,0,3659.931161,0,0,3659.931161,0,0
BIOMASS,INDIA,,2023,0,3746.105731,0,0,3746.105731,0,0
BIOMASS,INDIA,,2024,0,3833.678688,0,0,3833.678688,0,0
BIOMASS,INDIA,,2025,0,3923.210754,0,0,3923.210754,0,0
BIOMASS,INDIA,,2026,0,4015.298456,0,0,4015.298456,0,0
BIOMASS,INDIA,,2027,0,4111.023444,0,0,4111.023444,0,0
BIOMASS,INDIA,,2028,0,4207.595139,0,0,4207.595139,0,0
BIOMASS,INDIA,,2029,0,4304.986099,0,0,4304.986099,0,0
BIOMASS,INDIA,,2030,0,4403.168825,0,0,4403.168825,0,0
BIOMASS,INDIA,,2031,0,4502.115784,0,0,4502.115784,0,0
BIOGAS,INDIA,,2020,0,34767.52448,0,0,34767.52448,0,0
BIOGAS,INDIA,,2021,0,35234.01612,0,0,35234.01612,0,0
BIOGAS,INDIA,,2022,0,35717.7527,0,0,35717.7527,0,0
BIOGAS,INDIA,,2023,0,36188.11914,0,0,36188.11914,0,0
BIOGAS,INDIA,,2024,0,36686.91238,0,0,36686.91238,0,0
BIOGAS,INDIA,,2025,0,37171.70968,0,0,37171.70968,0,0
BIOGAS,INDIA,,2026,0,37675.0645,0,0,37675.0645,0,0
BIOGAS,INDIA,,2027,0,38193.57665,0,0,38193.57665,0,0
BIOGAS,INDIA,,2028,0,38714.09218,0,0,38714.09218,0,0
BIOGAS,INDIA,,2029,0,39242.71565,0,0,39242.71565,0,0
BIOGAS,INDIA,,2030,0,39779.52731,0,0,39779.52731,0,0
BIOGAS,INDIA,,2031,0,40324.60717,0,0,40324.60717,0,0
NATGAS,INDIA,,2020,0.360460813,7824.49998,0.0875,0,19375.90309,0.025,0
NATGAS,INDIA,,2021,0.360460813,9037.297477,0.0875,0,16184.04599,0.025,0
NATGAS,INDIA,,2022,0.360460813,9489.162351,0.0875,0,18725.18276,0.025,0
NATGAS,INDIA,,2023,0.360460813,9963.620468,0.0875,0,19225.34225,0.025,0
NATGAS,INDIA,,2024,0.360460813,10461.80149,0.0875,0,19738.01804,0.025,0
NATGAS,INDIA,,2025,0.360460813,10984.89157,0.0875,0,20263.51073,0.025,0
NATGAS,INDIA,,2026,0.360460813,11534.13614,0.0875,0,20802.12792,0.025,0
NATGAS,INDIA,,2027,0.360460813,12110.84295,0.0875,0,21457.53371,0.025,0
NATGAS,INDIA,,2028,0.360460813,12716.3851,0.0875,0,22133.58916,0.025,0
NATGAS,INDIA,,2029,0.360460813,13352.20436,0.0875,0,22830.94487,0.025,0
NATGAS,INDIA,,2030,0.360460813,14019.81457,0.0875,0,23550.27193,0.025,0
NATGAS,INDIA,,2031,0.360460813,14720.8053,0.0875,0,24292.2626,0.025,0
