EnergyConvTech,ModelGeography,SubGeography1,SubGeography2,LegacyCapacity
EG_CCGT,INDIA,NR,UP,1.810865
EG_PHWR,INDIA,NR,UP,0.44
EG_LH,INDIA,NR,UP,0.5016
EG_SH,INDIA,NR,UP,0.0251
EG_WIND,INDIA,NR,UP,0
EG_BIOMASS,INDIA,NR,UP,2.27352
EG_SOLARPV,INDIA,NR,UP,1.151525
EG_COAL,INDIA,NR,UK,0.1503
EG_CCGT,INDIA,NR,UK,0.45989
EG_PHWR,INDIA,NR,UK,0
EG_LH,INDIA,NR,UK,3.75635
EG_SH,INDIA,NR,UK,0.21432
EG_WIND,INDIA,NR,UK,0
EG_BIOMASS,INDIA,NR,UK,0.188
EG_SOLARPV,INDIA,NR,UK,0.332914
RF_MS,INDIA,,,32.9725
RF_HSD,INDIA,,,90.8622
RF_ATF,INDIA,,,8.7989
RF_LPG,INDIA,,,28.963
RF_OTHERPP,INDIA,,,34.1385
