EnergyConvTech,InstYear,ModelGeography,SubGeography1,Year,Season,DayType,DaySlice,MaxUF
EG_WIND,2020,INDIA,NER,2024,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,NER,2025,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,NER,2026,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,NER,2027,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,NER,2028,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,NER,2029,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,NER,2030,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,NER,2031,SUMMER,ALLDAYS,EARLY,0.089618681
EG_WIND,2020,INDIA,NR,2021,SUMMER,ALLDAYS,MORN,0.112840919
EG_WIND,2020,INDIA,NR,2022,SUMMER,ALLDAYS,MORN,0.112840919
EG_WIND,2020,INDIA,NR,2023,SUMMER,ALLDAYS,MORN,0.112840919
EG_WIND,2020,INDIA,NR,2024,SUMMER,ALLDAYS,MORN,0.112840919
EG_WIND,2020,INDIA,NR,2025,SUMMER,ALLDAYS,MORN,0.112840919
EG_WIND,2020,INDIA,NR,2026,SUMMER,ALLDAYS,MORN,0.112840919
EG_WIND,2020,INDIA,NR,2027,SUMMER,ALLDAYS,MORN,0.112840919
EG_WIND,2020,INDIA,NR,2028,SUMMER,ALLDAYS,MORN,0.112840919
EG_WIND,2020,INDIA,NR,2029,SUMMER,ALLDAYS,MORN,0.112840919
EG_WIND,2020,INDIA,NR,2030,SUMMER,ALLDAYS,MORN,0.112840919
EG_WIND,2020,INDIA,NR,2031,SUMMER,ALLDAYS,MORN,0.112840919
EG_WIND,2020,INDIA,WR,2021,SUMMER,ALLDAYS,MORN,0.113513152
EG_WIND,2020,INDIA,WR,2022,SUMMER,ALLDAYS,MORN,0.113513152
EG_WIND,2020,INDIA,WR,2023,SUMMER,ALLDAYS,MORN,0.113513152
EG_WIND,2020,INDIA,WR,2024,SUMMER,ALLDAYS,MORN,0.113513152
EG_WIND,2020,INDIA,WR,2025,SUMMER,ALLDAYS,MORN,0.113513152
EG_WIND,2020,INDIA,WR,2026,SUMMER,ALLDAYS,MORN,0.113513152
EG_WIND,2020,INDIA,WR,2027,SUMMER,ALLDAYS,MORN,0.113513152
EG_WIND,2020,INDIA,WR,2028,SUMMER,ALLDAYS,MORN,0.113513152
EG_WIND,2020,INDIA,WR,2029,SUMMER,ALLDAYS,MORN,0.113513152
EG_WIND,2020,INDIA,WR,2030,SUMMER,ALLDAYS,MORN,0.113513152
EG_WIND,2020,INDIA,WR,2031,SUMMER,ALLDAYS,MORN,0.113513152
EG_WIND,2020,INDIA,SR,2021,SUMMER,ALLDAYS,MORN,0.174696031
EG_WIND,2020,INDIA,SR,2022,SUMMER,ALLDAYS,MORN,0.174696031
EG_WIND,2020,INDIA,SR,2023,SUMMER,ALLDAYS,MORN,0.174696031
EG_WIND,2020,INDIA,SR,2024,SUMMER,ALLDAYS,MORN,0.174696031
EG_WIND,2020,INDIA,SR,2025,SUMMER,ALLDAYS,MORN,0.174696031
EG_WIND,2020,INDIA,SR,2026,SUMMER,ALLDAYS,MORN,0.174696031
EG_WIND,2020,INDIA,SR,2027,SUMMER,ALLDAYS,MORN,0.174696031
EG_WIND,2020,INDIA,SR,2028,SUMMER,ALLDAYS,MORN,0.174696031
EG_WIND,2020,INDIA,SR,2029,SUMMER,ALLDAYS,MORN,0.174696031
EG_WIND,2020,INDIA,SR,2030,SUMMER,ALLDAYS,MORN,0.174696031
EG_WIND,2020,INDIA,SR,2031,SUMMER,ALLDAYS,MORN,0.174696031
EG_WIND,2020,INDIA,ER,2021,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,ER,2022,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,ER,2023,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,ER,2024,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,ER,2025,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,ER,2026,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,ER,2027,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,ER,2028,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,ER,2029,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,ER,2030,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,ER,2031,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NER,2021,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NER,2022,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NER,2023,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NER,2024,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NER,2025,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NER,2026,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NER,2027,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NER,2028,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NER,2029,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NER,2030,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NER,2031,SUMMER,ALLDAYS,MORN,0.068713591
EG_WIND,2020,INDIA,NR,2021,SUMMER,ALLDAYS,MID,0.16398836
EG_WIND,2020,INDIA,NR,2022,SUMMER,ALLDAYS,MID,0.16398836
EG_WIND,2020,INDIA,NR,2023,SUMMER,ALLDAYS,MID,0.16398836
EG_WIND,2020,INDIA,NR,2024,SUMMER,ALLDAYS,MID,0.16398836
EG_WIND,2020,INDIA,NR,2025,SUMMER,ALLDAYS,MID,0.16398836
EG_WIND,2020,INDIA,NR,2026,SUMMER,ALLDAYS,MID,0.16398836
EG_WIND,2020,INDIA,NR,2027,SUMMER,ALLDAYS,MID,0.16398836
EG_WIND,2020,INDIA,NR,2028,SUMMER,ALLDAYS,MID,0.16398836
EG_WIND,2020,INDIA,NR,2029,SUMMER,ALLDAYS,MID,0.16398836
EG_WIND,2020,INDIA,NR,2030,SUMMER,ALLDAYS,MID,0.16398836
EG_WIND,2020,INDIA,NR,2031,SUMMER,ALLDAYS,MID,0.16398836
EG_WIND,2020,INDIA,WR,2021,SUMMER,ALLDAYS,MID,0.231640416
EG_WIND,2020,INDIA,WR,2022,SUMMER,ALLDAYS,MID,0.231640416
EG_WIND,2020,INDIA,WR,2023,SUMMER,ALLDAYS,MID,0.231640416
EG_WIND,2020,INDIA,WR,2024,SUMMER,ALLDAYS,MID,0.231640416
EG_WIND,2020,INDIA,WR,2025,SUMMER,ALLDAYS,MID,0.231640416
EG_WIND,2020,INDIA,WR,2026,SUMMER,ALLDAYS,MID,0.231640416
EG_WIND,2020,INDIA,WR,2027,SUMMER,ALLDAYS,MID,0.231640416
EG_WIND,2020,INDIA,WR,2028,SUMMER,ALLDAYS,MID,0.231640416
EG_WIND,2020,INDIA,WR,2029,SUMMER,ALLDAYS,MID,0.231640416
EG_WIND,2020,INDIA,WR,2030,SUMMER,ALLDAYS,MID,0.231640416
EG_WIND,2020,INDIA,WR,2031,SUMMER,ALLDAYS,MID,0.231640416
EG_WIND,2020,INDIA,SR,2021,SUMMER,ALLDAYS,MID,0.315920968
EG_WIND,2020,INDIA,SR,2022,SUMMER,ALLDAYS,MID,0.315920968
EG_WIND,2020,INDIA,SR,2023,SUMMER,ALLDAYS,MID,0.315920968
EG_WIND,2020,INDIA,SR,2024,SUMMER,ALLDAYS,MID,0.315920968
EG_WIND,2020,INDIA,SR,2025,SUMMER,ALLDAYS,MID,0.315920968
EG_WIND,2020,INDIA,SR,2026,SUMMER,ALLDAYS,MID,0.315920968
EG_WIND,2020,INDIA,SR,2027,SUMMER,ALLDAYS,MID,0.315920968
EG_WIND,2020,INDIA,SR,2028,SUMMER,ALLDAYS,MID,0.315920968
EG_WIND,2020,INDIA,SR,2029,SUMMER,ALLDAYS,MID,0.315920968
EG_WIND,2020,INDIA,SR,2030,SUMMER,ALLDAYS,MID,0.315920968
EG_WIND,2020,INDIA,SR,2031,SUMMER,ALLDAYS,MID,0.315920968
EG_WIND,2020,INDIA,ER,2021,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,ER,2022,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,ER,2023,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,ER,2024,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,ER,2025,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,ER,2026,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,ER,2027,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,ER,2028,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,ER,2029,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,ER,2030,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,ER,2031,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NER,2021,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NER,2022,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NER,2023,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NER,2024,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NER,2025,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NER,2026,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NER,2027,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NER,2028,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NER,2029,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NER,2030,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NER,2031,SUMMER,ALLDAYS,MID,0.088908194
EG_WIND,2020,INDIA,NR,2021,SUMMER,ALLDAYS,AFTERNOON,0.284368373
EG_WIND,2020,INDIA,NR,2022,SUMMER,ALLDAYS,AFTERNOON,0.284368373
EG_WIND,2020,INDIA,NR,2023,SUMMER,ALLDAYS,AFTERNOON,0.284368373
EG_WIND,2020,INDIA,NR,2024,SUMMER,ALLDAYS,AFTERNOON,0.284368373
EG_WIND,2020,INDIA,NR,2025,SUMMER,ALLDAYS,AFTERNOON,0.284368373
EG_WIND,2020,INDIA,NR,2026,SUMMER,ALLDAYS,AFTERNOON,0.284368373
EG_WIND,2020,INDIA,NR,2027,SUMMER,ALLDAYS,AFTERNOON,0.284368373
EG_WIND,2020,INDIA,NR,2028,SUMMER,ALLDAYS,AFTERNOON,0.284368373
EG_WIND,2020,INDIA,NR,2029,SUMMER,ALLDAYS,AFTERNOON,0.284368373
EG_WIND,2020,INDIA,NR,2030,SUMMER,ALLDAYS,AFTERNOON,0.284368373
EG_WIND,2020,INDIA,NR,2031,SUMMER,ALLDAYS,AFTERNOON,0.284368373
EG_WIND,2020,INDIA,WR,2021,SUMMER,ALLDAYS,AFTERNOON,0.344417033
EG_WIND,2020,INDIA,WR,2022,SUMMER,ALLDAYS,AFTERNOON,0.344417033
EG_WIND,2020,INDIA,WR,2023,SUMMER,ALLDAYS,AFTERNOON,0.344417033
EG_WIND,2020,INDIA,WR,2024,SUMMER,ALLDAYS,AFTERNOON,0.344417033
EG_WIND,2020,INDIA,WR,2025,SUMMER,ALLDAYS,AFTERNOON,0.344417033
EG_WIND,2020,INDIA,WR,2026,SUMMER,ALLDAYS,AFTERNOON,0.344417033
EG_WIND,2020,INDIA,WR,2027,SUMMER,ALLDAYS,AFTERNOON,0.344417033
EG_WIND,2020,INDIA,WR,2028,SUMMER,ALLDAYS,AFTERNOON,0.344417033
EG_WIND,2020,INDIA,WR,2029,SUMMER,ALLDAYS,AFTERNOON,0.344417033
EG_WIND,2020,INDIA,WR,2030,SUMMER,ALLDAYS,AFTERNOON,0.344417033
EG_WIND,2020,INDIA,WR,2031,SUMMER,ALLDAYS,AFTERNOON,0.344417033
EG_WIND,2020,INDIA,SR,2021,SUMMER,ALLDAYS,AFTERNOON,0.299142019
EG_WIND,2020,INDIA,SR,2022,SUMMER,ALLDAYS,AFTERNOON,0.299142019
EG_WIND,2020,INDIA,SR,2023,SUMMER,ALLDAYS,AFTERNOON,0.299142019
EG_WIND,2020,INDIA,SR,2024,SUMMER,ALLDAYS,AFTERNOON,0.299142019
EG_WIND,2020,INDIA,SR,2025,SUMMER,ALLDAYS,AFTERNOON,0.299142019
EG_WIND,2020,INDIA,SR,2026,SUMMER,ALLDAYS,AFTERNOON,0.299142019
EG_WIND,2020,INDIA,SR,2027,SUMMER,ALLDAYS,AFTERNOON,0.299142019
EG_WIND,2020,INDIA,SR,2028,SUMMER,ALLDAYS,AFTERNOON,0.299142019
EG_WIND,2020,INDIA,SR,2029,SUMMER,ALLDAYS,AFTERNOON,0.299142019
EG_WIND,2020,INDIA,SR,2030,SUMMER,ALLDAYS,AFTERNOON,0.299142019
EG_WIND,2020,INDIA,SR,2031,SUMMER,ALLDAYS,AFTERNOON,0.299142019
EG_WIND,2020,INDIA,ER,2021,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,ER,2022,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,ER,2023,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,ER,2024,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,ER,2025,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,ER,2026,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,ER,2027,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,ER,2028,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,ER,2029,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,ER,2030,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,ER,2031,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NER,2021,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NER,2022,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NER,2023,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NER,2024,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NER,2025,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NER,2026,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NER,2027,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NER,2028,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NER,2029,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NER,2030,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NER,2031,SUMMER,ALLDAYS,AFTERNOON,0.141492441
EG_WIND,2020,INDIA,NR,2021,SUMMER,ALLDAYS,EVENING,0.270148816
EG_WIND,2020,INDIA,NR,2022,SUMMER,ALLDAYS,EVENING,0.270148816
EG_WIND,2020,INDIA,NR,2023,SUMMER,ALLDAYS,EVENING,0.270148816
EG_WIND,2020,INDIA,NR,2024,SUMMER,ALLDAYS,EVENING,0.270148816
EG_WIND,2020,INDIA,NR,2025,SUMMER,ALLDAYS,EVENING,0.270148816
EG_WIND,2020,INDIA,NR,2026,SUMMER,ALLDAYS,EVENING,0.270148816
EG_WIND,2020,INDIA,NR,2027,SUMMER,ALLDAYS,EVENING,0.270148816
EG_WIND,2020,INDIA,NR,2028,SUMMER,ALLDAYS,EVENING,0.270148816
EG_WIND,2020,INDIA,NR,2029,SUMMER,ALLDAYS,EVENING,0.270148816
EG_WIND,2020,INDIA,NR,2030,SUMMER,ALLDAYS,EVENING,0.270148816
EG_WIND,2020,INDIA,NR,2031,SUMMER,ALLDAYS,EVENING,0.270148816
EG_WIND,2020,INDIA,WR,2021,SUMMER,ALLDAYS,EVENING,0.362016032
EG_WIND,2020,INDIA,WR,2022,SUMMER,ALLDAYS,EVENING,0.362016032
EG_WIND,2020,INDIA,WR,2023,SUMMER,ALLDAYS,EVENING,0.362016032
EG_WIND,2020,INDIA,WR,2024,SUMMER,ALLDAYS,EVENING,0.362016032
EG_WIND,2020,INDIA,WR,2025,SUMMER,ALLDAYS,EVENING,0.362016032
EG_WIND,2020,INDIA,WR,2026,SUMMER,ALLDAYS,EVENING,0.362016032
EG_WIND,2020,INDIA,WR,2027,SUMMER,ALLDAYS,EVENING,0.362016032
EG_WIND,2020,INDIA,WR,2028,SUMMER,ALLDAYS,EVENING,0.362016032
EG_WIND,2020,INDIA,WR,2029,SUMMER,ALLDAYS,EVENING,0.362016032
EG_WIND,2020,INDIA,WR,2030,SUMMER,ALLDAYS,EVENING,0.362016032
EG_WIND,2020,INDIA,WR,2031,SUMMER,ALLDAYS,EVENING,0.362016032
EG_WIND,2020,INDIA,SR,2021,SUMMER,ALLDAYS,EVENING,0.224758566
EG_WIND,2020,INDIA,SR,2022,SUMMER,ALLDAYS,EVENING,0.224758566
EG_WIND,2020,INDIA,SR,2023,SUMMER,ALLDAYS,EVENING,0.224758566
EG_WIND,2020,INDIA,SR,2024,SUMMER,ALLDAYS,EVENING,0.224758566
EG_WIND,2020,INDIA,SR,2025,SUMMER,ALLDAYS,EVENING,0.224758566
EG_WIND,2020,INDIA,SR,2026,SUMMER,ALLDAYS,EVENING,0.224758566
EG_WIND,2020,INDIA,SR,2027,SUMMER,ALLDAYS,EVENING,0.224758566
EG_WIND,2020,INDIA,SR,2028,SUMMER,ALLDAYS,EVENING,0.224758566
EG_WIND,2020,INDIA,SR,2029,SUMMER,ALLDAYS,EVENING,0.224758566
EG_WIND,2020,INDIA,SR,2030,SUMMER,ALLDAYS,EVENING,0.224758566
EG_WIND,2020,INDIA,SR,2031,SUMMER,ALLDAYS,EVENING,0.224758566
EG_WIND,2020,INDIA,ER,2021,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,ER,2022,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,ER,2023,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,ER,2024,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,ER,2025,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,ER,2026,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,ER,2027,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,ER,2028,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,ER,2029,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,ER,2030,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,ER,2031,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NER,2021,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NER,2022,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NER,2023,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NER,2024,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NER,2025,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NER,2026,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NER,2027,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NER,2028,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NER,2029,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NER,2030,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NER,2031,SUMMER,ALLDAYS,EVENING,0.146936016
EG_WIND,2020,INDIA,NR,2021,SUMMER,ALLDAYS,NIGHT,0.151451626
EG_WIND,2020,INDIA,NR,2022,SUMMER,ALLDAYS,NIGHT,0.151451626
EG_WIND,2020,INDIA,NR,2023,SUMMER,ALLDAYS,NIGHT,0.151451626
EG_WIND,2020,INDIA,NR,2024,SUMMER,ALLDAYS,NIGHT,0.151451626
EG_WIND,2020,INDIA,NR,2025,SUMMER,ALLDAYS,NIGHT,0.151451626
EG_WIND,2020,INDIA,NR,2026,SUMMER,ALLDAYS,NIGHT,0.151451626
EG_WIND,2020,INDIA,NR,2027,SUMMER,ALLDAYS,NIGHT,0.151451626
EG_WIND,2020,INDIA,NR,2028,SUMMER,ALLDAYS,NIGHT,0.151451626
EG_WIND,2020,INDIA,NR,2029,SUMMER,ALLDAYS,NIGHT,0.151451626
EG_WIND,2020,INDIA,NR,2030,SUMMER,ALLDAYS,NIGHT,0.151451626
EG_WIND,2020,INDIA,NR,2031,SUMMER,ALLDAYS,NIGHT,0.151451626
EG_WIND,2020,INDIA,WR,2021,SUMMER,ALLDAYS,NIGHT,0.242963797
EG_WIND,2020,INDIA,WR,2022,SUMMER,ALLDAYS,NIGHT,0.242963797
EG_WIND,2020,INDIA,WR,2023,SUMMER,ALLDAYS,NIGHT,0.242963797
EG_WIND,2020,INDIA,WR,2024,SUMMER,ALLDAYS,NIGHT,0.242963797
EG_WIND,2020,INDIA,WR,2025,SUMMER,ALLDAYS,NIGHT,0.242963797
EG_WIND,2020,INDIA,WR,2026,SUMMER,ALLDAYS,NIGHT,0.242963797
EG_WIND,2020,INDIA,WR,2027,SUMMER,ALLDAYS,NIGHT,0.242963797
EG_WIND,2020,INDIA,WR,2028,SUMMER,ALLDAYS,NIGHT,0.242963797
EG_WIND,2020,INDIA,WR,2029,SUMMER,ALLDAYS,NIGHT,0.242963797
EG_WIND,2020,INDIA,WR,2030,SUMMER,ALLDAYS,NIGHT,0.242963797
EG_WIND,2020,INDIA,WR,2031,SUMMER,ALLDAYS,NIGHT,0.242963797
EG_WIND,2020,INDIA,SR,2021,SUMMER,ALLDAYS,NIGHT,0.133470514
EG_WIND,2020,INDIA,SR,2022,SUMMER,ALLDAYS,NIGHT,0.133470514
EG_WIND,2020,INDIA,SR,2023,SUMMER,ALLDAYS,NIGHT,0.133470514
EG_WIND,2020,INDIA,SR,2024,SUMMER,ALLDAYS,NIGHT,0.133470514
