Year,ModelGeography,SubGeography1,EnergyDemand
2021,INDIA,ER,1635.9484880333712
2021,INDIA,WR,1538.5911068782775
2021,INDIA,NR,442.3802889378056
2021,INDIA,SR,477.9781206720803
2021,INDIA,NER,9.242469309843653
2022,INDIA,ER,1720.5171760092328
2022,INDIA,WR,1635.1856803557175
2022,INDIA,NR,468.2741111327485
2022,INDIA,SR,507.6205877102345
2022,INDIA,NER,9.800611738022509
2023,INDIA,ER,1791.318681152692
2023,INDIA,WR,1720.447378999023
2023,INDIA,NR,490.7013643222677
2023,INDIA,SR,533.6653684268402
2023,INDIA,NER,10.289178442814372
2024,INDIA,ER,1850.2990190636376
2024,INDIA,WR,1795.9015194047247
2024,INDIA,NR,510.13060729011073
2024,INDIA,SR,556.5874871698127
2024,INDIA,NER,10.717800946555927
2025,INDIA,ER,1909.7562498415505
2025,INDIA,WR,1873.365025624492
2025,INDIA,NR,529.9276747188277
2025,INDIA,SR,580.0463980656713
2025,INDIA,NER,11.157226427538836
2026,INDIA,ER,1970.2509570803743
2026,INDIA,WR,1953.452116054509
2026,INDIA,NR,550.2551560824589
2026,INDIA,SR,604.224505241203
2026,INDIA,NER,11.61112378246641
2027,INDIA,ER,2031.5284491640296
2027,INDIA,WR,2035.9803850448827
2027,INDIA,NR,571.0497115956136
2027,INDIA,SR,629.0570957566696
2027,INDIA,NER,12.078421067429684
2028,INDIA,ER,2094.610469233228
2028,INDIA,WR,2122.0603848916526
2028,INDIA,NR,592.6088489279971
2028,INDIA,SR,654.8780841249916
2028,INDIA,NER,12.565710692849477
2029,INDIA,ER,2159.546232995257
2029,INDIA,WR,2211.847785359256
2029,INDIA,NR,614.9596907896745
2029,INDIA,SR,681.7251858997703
2029,INDIA,NER,13.073909787006714
2030,INDIA,ER,2226.386144400886
2030,INDIA,WR,2305.505141746211
2030,INDIA,NR,638.1302747681908
2030,INDIA,SR,709.6374750684872
2030,INDIA,NER,13.60398197706135
2031,INDIA,ER,2295.181822895317
2031,INDIA,WR,2403.2021962003687
2031,INDIA,NR,662.149581730069
2031,INDIA,SR,738.6554291382081
2031,INDIA,NER,14.15694001761815
