Year,ModelGeography,SubGeography1,GDP
2020,INDIA,ER,23738390.47
2021,INDIA,ER,21574529.28
2022,INDIA,ER,22794362.38
2023,INDIA,ER,23856268.93
2024,INDIA,ER,25157957.95
2025,INDIA,ER,26497660.74
2026,INDIA,ER,27888629.23
2027,INDIA,ER,29326026.85
2028,INDIA,ER,30835085.88
2029,INDIA,ER,32419235.37
2030,INDIA,ER,34082059.99
2031,INDIA,ER,35827306.67
2020,INDIA,NER,5384212.504
2021,INDIA,NER,4957274.804
2022,INDIA,NER,5307074.547
2023,INDIA,NER,5629273.041
2024,INDIA,NER,6017885.662
2025,INDIA,NER,6426763.714
2026,INDIA,NER,6860039.137
2027,INDIA,NER,7317565.279
2028,INDIA,NER,7806796.227
2029,INDIA,NER,8330023.039
2030,INDIA,NER,8889711.116
2031,INDIA,NER,9488514.292
2020,INDIA,NR,52308265.32
2021,INDIA,NR,48035436.21
2022,INDIA,NR,51281180.76
2023,INDIA,NR,54231556.25
2024,INDIA,NR,57790007.31
2025,INDIA,NR,61506579.29
2026,INDIA,NR,65416418.18
2027,INDIA,NR,69513197.77
2028,INDIA,NR,73862254.24
2029,INDIA,NR,78478815.78
2030,INDIA,NR,83379007.68
2031,INDIA,NR,88579903.59
2020,INDIA,SR,57575301.12
2021,INDIA,SR,53151524.57
2022,INDIA,SR,57041556.58
2023,INDIA,SR,60639549.95
2024,INDIA,SR,64955853.94
2025,INDIA,SR,69492793.78
2026,INDIA,SR,74293107.85
2027,INDIA,SR,79353014.87
2028,INDIA,SR,84750811.83
2029,INDIA,SR,90508539.73
2030,INDIA,SR,96649637.22
2031,INDIA,SR,103199026.4
2020,INDIA,WR,57496667.88
2021,INDIA,WR,53133354.07
2022,INDIA,WR,57087593
2023,INDIA,WR,60765825.12
2024,INDIA,WR,65182255.61
2025,INDIA,WR,69841487.59
2026,INDIA,WR,74789421.69
2027,INDIA,WR,80025552.14
2028,INDIA,WR,85632514.8
2029,INDIA,WR,91636874.15
2030,INDIA,WR,98067115.05
2031,INDIA,WR,104953782.2
